FirstName,LastName,EMPLID,phone,DaysSinceLastActivity,Active,Change,Bottom,Engagement,Assignments,Year,Tutor,Course,PlanCode,Programme,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy,Placement, View
John,Meikle,257130975,0562 790 3185,35,0,,5,0,0,3,Perrine Cregan,L140 Economics and Econometrics BSc,U6UCMPSC,BSc Hons Computer Science,int,,,,,,,,,,
Bhavik,Vyas,209531913,0521 325 6495,35,0,,5,0,20,3,Perrine Cregan,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,int,,,,,,,,,,
Mg,Frost,286371026,0341 832 6221,35,0,,5,0,25,3,Ker Elland,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,int,,,,,,,,,,
Sonia,Bolger,251037613,0129 022 8747,30,0,,5,0,50,2,Nappie Retchford,L160 Economics and International Economics BSc,U6UCMPSC,BSc Hons Computer Science,int,,,Tier4,,,,,,,
Zara,Smith,285098400,0241 272 3960,29,0,,5,0,80,2,Bert Farbrother,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Simon,Clarkson,235213592,0347 600 3063,40,25,,5,25,0,1,Jakob Domsalla,L160 Economics and International Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,Withdrawn,,,,,,
Ian,Stirling,201256966,0117 625 6740,9,45,,5,45,70,1,Ferdinande Berrane,L140 Economics and Econometrics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,,,,,,,,Placement,
Jill,Courts,292852031,0754 344 4910,8,45,,5,45,80,1,Risa Beeden,L100 Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,RemoteStudy,,
Joan,Lawn,212998723,0519 482 9870,8,45,,5,45,80,3,Terry Fullerton,L100 Economics BSc,U6UCSCMG,BSc Jt Hons Computer Science and Management,home,,,,,,,,,,
Susan,Embery,285416545,0890 454 4410,8,45,,5,45,90,2,Akim Mathan,L160 Economics and International Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Jacqueline,Coombe,237875292,0637 442 9203,2,50,,5,50,80,2,Anette Fearnyhough,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Allan,Lardner,239218474,0832 738 7725,2,50,,10,50,50,1,Franky Eade,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Rupert,Shaw,292770640,0706 496 4418,2,50,,10,50,100,2,Carmelina Firbank,VLL5A Philosophy Politics and Economics BA,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Peter,Dunkley,257169408,0855 563 1033,2,50,,10,50,100,3,Jakob Domsalla,LV15 Economics and Philosophy BA,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Peter,McGrath,214637536,0268 774 0670,2,55,,10,55,100,2,Trevor Cocksedge,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Ben,Taylor,216264971,0073 162 1844,2,55,,10,55,100,1,Milicent Winspare,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,PartTime,,,,,,,,,
Mary,Barker,249080629,0154 930 2384,2,55,,10,55,100,1,Syd Signore,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Robert,Fletcher,256029746,0464 346 8674,2,55,,10,55,100,2,Hermon Cowland,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Jamie,Thomson,223932979,0037 723 4446,2,55,,10,55,100,1,Cinnamon Crossman,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Lesley,Sutton,242380859,0522 559 8764,22,90,,10,90,90,2,Ferdinande Berrane,LV15 Economics and Philosophy BA,U6UCMPSC,BSc Hons Computer Science,int,,,Tier4,,,,,,,
Catherine,Madigan,253943230,0946 409 7003,14,90,,,90,80,3,Terry Fullerton,L140 Economics and Econometrics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,int,,,Tier4,,,,,,,
Anna,Farr,298708446,0875 241 2616,12,90,,,90,90,1,Nappie Retchford,L100 Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,int,,,Tier4,,,,,,,
James,Cox,283487811,0339 453 5888,11,90,,,90,90,3,Madonna Speirs,GL11 Mathematics and Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,,,,Resits,,,,Placement,
Peter,Brown,254671448,0938 103 4700,3,99,,,99,100,2,Cinnamon Crossman,GL11 Mathematics and Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
John,Carberry,260876284,0879 133 2089,3,99,,,99,100,2,Tomasine Ostick,L100 Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,,,,,,,,Placement,
Jeanette,Parks,258131499,0009 298 7217,3,99,,,99,100,2,Anette Fearnyhough,VLL5A Philosophy Politics and Economics BA,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Anthony,Hopkins,298513748,0311 821 9919,3,99,80,,99,100,1,Madonna Speirs,LV15 Economics and Philosophy BA,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,remote,,
Lauren,Kearney,225416734,0720 733 5904,7,118,,,118,90,2,Zeb Messitt,L140 Economics and Econometrics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Linda,Robinson,214340935,0963 652 9623,7,118,,,118,70,1,Brewer Firebrace,LV15 Economics and Philosophy BA,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Helen,Christie,231778285,0320 802 8997,6,118,,,118,100,3,Shaylyn Rockcliffe,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
James,Cranston,298761347,0704 893 7011,6,118,60,,118,100,2,Jareb Grundwater,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Naomi,Cleaver,241614653,0044 908 2111,4,120,,,120,100,3,Tomasine Ostick,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Paul,Donaldson,228094307,0031 115 2518,4,120,,,120,80,1,Beniamino Aldie,L140 Economics and Econometrics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Amina,Sharif,271736317,0904 690 8348,4,120,,,120,100,3,Oran Daubney,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
David,Kent,295910770,0173 691 6608,4,120,,,120,50,2,Matteo Sotheby,VLL5A Philosophy Politics and Economics BA,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Simon,Burn,254917486,0496 428 9907,2,120,,,120,90,2,Arne Braikenridge,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Verity,Nalley,263595380,0951 944 7905,2,120,,,120,100,1,Milicent Winspare,GL11 Mathematics and Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Robert,Ashdown,285438009,0106 478 5122,2,120,,,120,100,2,Carmelina Firbank,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Alexander,Hinks,244506414,0418 780 8315,2,120,,,120,100,2,Thayne Kareman,L160 Economics and International Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Paul,Field,243337218,0159 620 3395,1,122,,,122,100,1,Gelya Fredy,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,PartTime,,,,,,,remote,,
Tracy,Bridges,266947721,0842 860 5605,1,122,,,122,100,1,Arne Braikenridge,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Debbi,Wilson,295132426,0789 397 7740,1,122,,,122,100,4,Margarete Brickham,L100 Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
James,Gill,275012428,0093 733 9239,1,122,,,122,100,3,Thayne Kareman,L160 Economics and International Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,,,,,,,,Placement,
Joyce,Mortimer,270932712,0463 478 7274,1,122,,,122,100,2,Adolph Whysall,L160 Economics and International Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,,,,,,,,Placement,
Alice,Walker,207348587,0516 114 0876,14,128,,,128,70,2,Frederich Belchem,L160 Economics and International Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,eu,PartTime,,,,,,,,,
Margaret,Flanagan,235396022,0991 335 1616,1,128,,,128,100,2,Vaughan Ormston,GL11 Mathematics and Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,eu,,,,,,Repeating,,,Placement,
Christopher,Ashton,285568980,0709 166 3054,1,128,,,128,100,2,Margarete Brickham,GL11 Mathematics and Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,home,,yes,,,,,,,,
Cynthia,Sweeney,240019348,0090 816 6989,1,128,,,128,100,2,Gelya Fredy,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Tony,McClelland,274864930,0486 348 1827,1,128,,,128,100,4,Morry Wye,LV15 Economics and Philosophy BA,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Adele,Perrott,295867836,0174 855 6221,15,130,,,130,70,2,Frederich Belchem,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,,,
Johnathan,Jackson,242492971,0099 307 2412,1,130,,,130,100,3,Franky Eade,L100 Economics BSc,U6UCMPSC,BSc Hons Computer Science,home,,,,,,,,remote,,
Helen,Brown,235334999,0454 297 6305,1,130,,,130,100,1,Paige Ivashnikov,L160 Economics and International Economics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
Andrew,Cover,223603845,0983 669 9052,3,144,,,144,100,3,Risa Beeden,L140 Economics and Econometrics BSc,U6UCMPAI,BSc Hons Computer Science with Artificial Intelligence,home,,,,,,,,,,
John,Davis,250014922,0148 326 5178,3,144,,,144,100,3,Adolph Whysall,L100 Economics BSc,U6UCMPAIY,BSc Hons Computer Science and Artificial Intelligence with Year in Industry,eu,,,Tier4,,Resits,,,,Placement,
