FirstName,LastName,EMPLID,phone,DaysSinceLastActivity,Engagement,Year,School,Course,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy, View
Brenda,Campbell,226605275,0708 913 5318,1,156,3,Economics,L100 Economics BSc,eu,,,Tier4,,,,,,
Daniel,Cousins,228005566,0371 108 4129,1,156,3,Economics,L100 Economics BSc,eu,,,Tier4,,,,,,
Margaret,Flanagan,235396022,0991 335 1616,1,128,2,Mathematics,GL11 Mathematics and Economics BSc,eu,,,Tier4,,,Repeating,,,
John,Davis,250014922,0148 326 5178,3,144,3,Economics,L100 Economics BSc,eu,,,Tier4,,Resits,,,,
Alice,Walker,207348587,0516 114 0876,14,128,2,Economics,L160 Economics and International Economics BSc,eu,,,,,,,,,
Dan,Brown,258414125,0676 406 7141,1,144,3,Economics,LV15 Economics and Philosophy BA,eu,,,Tier4,,,,Interrupted,,
Paul,Field,243337218,0159 620 3395,1,122,1,Economics,L100 Economics BSc,eu,,,Tier4,,,,,remote,
Helen,Brown,235334999,0454 297 6305,1,130,1,Economics,L160 Economics and International Economics BSc,eu,,yes,Tier4,,,,,,
Christopher,Ashton,285568980,0709 166 3054,1,128,2,Mathematics,GL11 Mathematics and Economics BSc,eu,PartTime,,,,,,,,
Anthony,Bell,241603779,0220 921 7791,1,144,3,Economics,LV15 Economics and Philosophy BA,eu,,,,,,,,,
Tracy,Bridges,266947721,0842 860 5605,1,122,1,Economics,L100 Economics BSc,eu,,,Tier4,,,,,,
Simon,Clarkson,235213592,0347 600 3063,40,25,1,Economics,L160 Economics and International Economics BSc,int,,,Tier4,Withdrawn,,,,,
Peter,Fraser,274885864,0582 474 5161,1,144,1,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
James,Gill,275012428,0093 733 9239,1,122,3,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
Johnathan,Jackson,242492971,0099 307 2412,1,130,3,Economics,L100 Economics BSc,int,,,Tier4,,,,,remote,
Emily,Jacobs,205210556,0596 219 9907,1,156,2,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Ben,Taylor,216264971,0073 162 1844,2,55,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Robert,Ashdown,285438009,0106 478 5122,2,120,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Peter,Brown,254671448,0938 103 4700,3,99,2,Mathematics,GL11 Mathematics and Economics BSc,int,PartTime,,Tier4,,,,,,
Naomi,Cleaver,241614653,0044 908 2111,4,120,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Jill,Courts,292852031,0754 344 4910,8,45,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
James,Cox,283487811,0339 453 5888,11,90,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,Resits,,,,
Zara,Smith,285098400,0241 272 3960,29,0,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Jacqueline,Coombe,237875292,0637 442 9203,2,50,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Helen,Christie,231778285,0320 802 8997,6,118,3,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Tony,McClelland,274864930,0486 348 1827,1,128,4,Economics,LV15 Economics and Philosophy BA,int,,,Tier4,,,,,,
June,McIvor,243453783,0301 026 8178,1,144,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Joyce,Mortimer,270932712,0463 478 7274,1,122,2,Economics,L160 Economics and International Economics BSc,int,,,Tier4,,,,,,
Adele,Perrott,295867836,0174 855 6221,15,130,2,Economics,L100 Economics BSc,int,,,Tier4,,,,,remote,
Patrick,Phee,201199280,0377 777 1018,1,156,1,Economics,L100 Economics BSc,int,,,Tier4,,,,,,
Cynthia,Sweeney,240019348,0090 816 6989,1,128,2,Economics,L100 Economics BSc,int,,,,,,,,,
Brian,Tomes,233311947,0536 308 7149,1,144,3,Economics,L100 Economics BSc,int,,,,,,,,,
Debbi,Wilson,295132426,0789 397 7740,1,122,4,Economics,L100 Economics BSc,int,,,,,,,,,
Mary,Barker,249080629,0154 930 2384,2,55,1,Economics,L100 Economics BSc,int,,,Tier4,,,,Interrupted,,
Simon,Burn,254917486,0496 428 9907,2,120,2,Mathematics,GL11 Mathematics and Economics BSc,int,,,Tier4,,,,,,
Peter,Dunkley,257169408,0855 563 1033,2,50,3,Economics,LV15 Economics and Philosophy BA,int,,,Tier4,,,,,,
