id,LastName,FirstName,DaysSinceLastActivity,Active,EMPLID,status,Course,Year,Note,Change,Bottom,Tutor,PlanCode,Programme,FeeStatus,PartTime,PrevInterrupted,Tier4,Withdrawn,Resits,Repeating,Interrupted,RemoteStudy,Placement
1,Helen,Ackroyd,0,3720,22082794,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Barron,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
2,Daniel,Anderson,0,3890,22083301,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Bos,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
3,Joan,Anderson,0,5545,22271322,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Brum,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
4,Kelly,Andrew,0,5490,22710284,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Burns,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
5,Simon,Atkins,0,6850,22790376,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Charles,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
6,Shahrukh,Aziz,0,3300,22027772,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Clair,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
7,Gurbinder,Bansal,0,0,22109760,Registered,U7UPHYSC - MSci Hons Physics,2,,,5,Felix,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
8,Timothy,Banton,0,1367,22980932,Registered,U6UPHYSC - BSc Hons Physics,2,,,,Fielding,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
9,Michael,Barker,0,957,22510581,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Foreman,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
10,Lisa,Barrett,0,1368,22659775,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Hampson,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
11,Stephen,Bates,0,1222,22124102,Registered,U7UPHYSC - MSci Hons Physics,2,,,,Hannay,U7UPHYSC ,MSci Hons Physics,,,,,,,,,,
12,Kenneth,Benjamin,0,1076,22890668,Registered,U6UPHYTA - BSc Hons Physics with Theoretical Astrophysics,2,,,,Hanton,U6UPHYTA ,BSc Hons Physics with Theoretical Astrophysics,,,,,,,,,,
13,Joanna,Beska,0,987,22681877,Registered,U6UPHYSC - BSc Hons Physics,2,,,,Harkness,U6UPHYSC ,BSc Hons Physics,,,,,,,,,,
14,Adele,Blake,0,251,22157456,Registered,U7UPHYTP - MSci Hons Physics with Theoretical Physics,2,,,5,Hoang,U7UPHYTP ,MSci Hons Physics with Theoretical Physics,,,,,,,,,,
15,Liam,Boud,0,2664,22487447,Registered,U7UMTHPY - MSci Hons Mathematical Physics,3,,,,Hull,U7UMTHPY ,MSci Hons Mathematical Physics,,,,,,,,,,
16,Helen,Bowman,0,0,22203743,Left,U6UPHYSC - BSc Hons Physics,4,,,5,Hurley,U6UPHYSC ,BSc Hons Physics,,,,,Withdrawn,,,,,
17,Clare,Brannigan,1,2565,22919912,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Hussain,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
18,David,Brewer,1,6330,22952117,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Lee,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
19,Michael,Brewster,1,5460,22357923,Registered,U7PMLSCI - MSc Machine Learning in Science,1,,,,Lopes,U7PMLSCI ,MSc Machine Learning in Science,,,,,,,,,,
